date,MKT_RF,SMB,HML,RMW,CMA,MOM,RF,log_MKT_RF,log_SMB,log_HML,log_RMW,log_CMA,log_MOM,mkt_ret_12m,mkt_ret_3m,mkt_vol_12m,mkt_dd_12m,SMB_ret_12m,SMB_vol_12m,HML_ret_12m,HML_vol_12m,RMW_ret_12m,RMW_vol_12m,CMA_ret_12m,CMA_vol_12m,MOM_ret_12m,MOM_vol_12m,factor_spread_12m,mkt_ret_12m_z,mkt_ret_3m_z,mkt_vol_12m_z,mkt_dd_12m_z,SMB_ret_12m_z,HML_ret_12m_z,RMW_ret_12m_z,CMA_ret_12m_z,MOM_ret_12m_z,SMB_vol_12m_z,HML_vol_12m_z,RMW_vol_12m_z,CMA_vol_12m_z,MOM_vol_12m_z,factor_spread_12m_z
1964-06-01,0.0127,-0.0023,0.0068000000000000005,-0.0033,0.001,0.004699999999999999,0.003,0.012620031356102198,-0.002302649062675558,0.006776984279023669,-0.0033054570087264813,9.995003330834232e-4,0.0046889894861314695,0.15437172906855268,0.028006049069999817,0.060145120356303094,-0.015699999999999967,-0.06855870778414153,0.026177692365414684,0.12628634587598908,0.04606005585382956,-0.008421554774257212,0.04052213360044428,0.026719663558952167,0.05112126814114232,0.11181537802138553,0.039873968685790705,0.2229304368526942,0.5996090726532882,0.17613915241383263,-1.5337412251314246,1.1640357065470506,-0.7875773803803928,0.5042567935774545,-0.39424490883448915,-0.19850387235154957,0.07031268097237185,-1.4839852262187616,-1.0685063371898247,-0.4945378624146328,-0.5406614567820053,-1.152881341592024,-0.6084071351757178
1964-07-01,0.0174,0.0019,0.0079,0.0015,0.018500000000000003,-0.0038,0.003,0.017250353406527672,0.0018981972830802655,0.007868958378695197,0.0014988761237359487,0.01833095668472342,-0.0038072383429540663,0.17905611600677163,0.04484850581799993,0.057727473275041796,-0.015700000000000127,-0.0614391726128245,0.027324193302889477,0.14445408610586652,0.041804705794780905,-0.013249391003992694,0.03988012381976925,0.057879592650271094,0.05108234562863591,0.09651567130472682,0.04177511788675682,0.24049528861959613,0.7526062556616713,0.3877576363588223,-1.5769703557504933,1.1640357065470486,-0.7313908096533858,0.6429353762296964,-0.4409336770054415,0.13798506932806703,-0.04657312661617533,-1.4607704992601809,-1.1788826914399428,-0.5076161181590415,-0.5420676291549346,-1.1269219939466404,-0.4939952843647734
1964-08-01,-0.0144,1e-4,7.000000000000001e-4,0.0015,0.0031,-0.0025,0.0028000000000000004,-0.014504686202881688,9.999500033329732e-5,6.997551142732649e-4,0.0014988761237359487,0.0030952049073025216,-0.002503130218118477,0.10589808520772248,0.015484357887999955,0.049282071910896244,-0.014399999999999958,-0.05234257095415007,0.027385495007553835,0.12611131166778833,0.04255369574169994,-0.0157064393331664,0.03960907739718294,0.06520680524742728,0.05029015129406269,0.08294493279848014,0.04287785930200978,0.1784538826219384,0.2991628440545991,0.01880929584900583,-1.727979724128049,1.1795096836962977,-0.6596014525996202,0.5029207167951026,-0.46469516235141445,0.21710996094938745,-0.1502500636484725,-1.459529242241226,-1.1594551993267805,-0.5131375518503845,-0.5706876157779585,-1.1118645498770394,-0.8981132456948413
1964-09-01,0.0269,-0.0063,0.0172,-0.005,0.005600000000000001,-0.0039000000000000003,0.0028000000000000004,0.02654455522211221,-0.0063199287448193475,0.01705375456582762,-0.005012541823544286,0.0055843782939006634,-0.0039076248310170765,0.1537607880725489,0.02972339993600004,0.0445600861241115,-0.014400000000000001,-0.05595269449337248,0.027350854756129337,0.14548042622847435,0.0416338601093705,-0.01292875139740024,0.03920186022168829,0.06956761193890415,0.050122133652300116,0.07742853332058108,0.04387730013488802,0.20971348256592137,0.595822377378787,0.19771695380600396,-1.8124119565826757,1.1795096836962973,-0.6880921414843314,0.6507696688671657,-0.4378328534591878,0.2642013142122306,-0.19239393084124745,-1.4602306494117843,-1.1833141303658343,-0.5214328933310628,-0.5767576701191921,-1.098217629362598,-0.6944981664067796
1964-10-01,0.006,0.0048,0.0108,-0.002,0.0052,0.0019,0.0029,0.005982071677547469,0.004788516731797094,0.010742096531902029,-0.0020020026706730793,0.005186526687300154,0.0018981972830802655,0.13193227306512978,0.01818531584000005,0.04244812593959726,-0.014400000000000053,-0.04598337265105157,0.028937502805481557,0.15831494080806507,0.039656538131128564,-0.04164110700905266,0.023791175100577287,0.09987658672223754,0.03954658254652413,0.04671351452912842,0.034771217429493385,0.20429831345911664,0.46052627649728334,0.052745712344140556,-1.8501752030822467,1.1795096836962966,-0.6094153749096618,0.7487385008961552,-0.7155026937362327,0.5915009951052578,-0.42704874109504815,-1.428103679392724,-1.2346024117312855,-0.8353609475088857,-0.958825703137219,-1.2225571428089017,-0.7297708534858266
1964-11-01,-1e-4,0.0062,-0.0204,0.0070999999999999995,-0.0016,0.011000000000000001,0.0029,-1.0000500033334732e-4,0.006180859075081099,-0.02061095390412435,0.007074913671961985,-0.0016012813669738792,0.010939940038334263,0.14163715940873867,0.03295809386000004,0.039006221774612375,-0.014399999999999883,-0.028802579483496626,0.029229190764681088,0.11538908484771482,0.05093686559684771,-0.03066863399499542,0.02601195751575569,0.07374282212132766,0.03715851418791829,0.06654642530633836,0.03293727702622227,0.1723057934037341,0.5206784802244796,0.23835954143231505,-1.9117187285536414,1.1795096836962986,-0.47382648782276354,0.42107546804818774,-0.6093907163538893,0.3092884532572629,-0.27553042535493744,-1.422197485940465,-0.9420104032862953,-0.7901218230397056,-1.0451005999590781,-1.2475987841830962,-0.9381599409781477
1964-12-01,4e-4,-0.0024,-0.024300000000000002,0.0095,-0.0155,-0.0069,0.0031,3.999200213268913e-4,-0.002402884616310315,-0.02460011686823269,0.009455158770755197,-0.01562138090295678,-0.006923915072824198,0.1215690997471297,0.006301759760000136,0.039514980327183064,-0.014400000000000045,-0.011764028246365132,0.02231846579493394,0.09057533829633768,0.060420270920675596,-0.02263282662599686,0.02851561534277824,0.059749181331776535,0.04235789230446703,0.04005032891960392,0.03180652754377786,0.14420192637312657,0.39629392069075703,-0.09656624131864404,-1.9026217887673877,1.1795096836962968,-0.3393601580506014,0.23166637487005645,-0.5316784805893883,0.15817432954660904,-0.4779537581326392,-1.5621281113893035,-0.6960274192790294,-0.7391202988512986,-0.8572601602469778,-1.2630386659660173,-1.1212195810244934
1965-01-01,0.0354,0.025699999999999997,0.0036,0.009399999999999999,-2e-4,-0.0138,0.0028000000000000004,0.034787825485664024,0.0253753063312283,0.003593535510130218,0.009356094924025029,-2.000200026670447e-4,-0.013896105192111352,0.1358300526977485,0.035710578584000174,0.04547754741353621,-0.014400000000000048,0.016072209530576753,0.03440752366720143,0.0769471706328888,0.059693994670249446,-0.015512997900689385,0.03048370106515078,0.04408477679888678,0.04117932646466432,0.015341154603557117,0.03505818100860145,0.1513430505984379,0.4846852440775065,0.27294337044786626,-1.7960071412455303,1.1795096836962966,-0.11967970069026423,0.1276394044378093,-0.4628244397821712,-0.010981989386797003,-0.6667254678303569,-1.3173449031790234,-0.7148657577442804,-0.6990288093150422,-0.8998387764998674,-1.2186387826360945,-1.0747045719409385
1965-02-01,0.0044,0.0331,0.0022,0.0026,-0.0062,0.0024,0.003,0.004390348301292854,0.03256399087326258,0.0021975835434872013,0.002596625847265914,-0.0062192998139168326,0.0023971245997214514,0.12341477590312033,0.0403717423040002,0.04554866770709292,-0.014400000000000043,0.04844606438877186,0.046462524535628706,0.04981660773103913,0.0549141036922635,-0.014037890016213805,0.030648739157027063,0.029274329116886877,0.041957594926898316,0.014430353209015978,0.03501306529392603,0.13745266591933414,0.40773367219518236,0.33150895945927455,-1.794735463305578,1.1795096836962968,0.1358111202588444,-0.07945448628166372,-0.4485590490836972,-0.17091662376007877,-0.6736837552358141,-1.0732512923509478,-0.8388477880219656,-0.6956668506064725,-0.871721896580172,-1.2192548176747615,-1.16518211429099
1965-03-01,-0.0134,0.0179,0.0115,-0.0029,0.006500000000000001,0.0017000000000000001,0.0036,-0.013490590182499144,0.017741681476157126,0.01143437762566317,-0.002904213147389827,0.0064789660977090735,0.001698556635581512,0.0929504170259523,0.026020352816000125,0.05071828972446836,-0.014399999999999968,0.05717013268086313,0.048240036232005,0.028066123264542497,0.04647902782793851,0.0034733284320029867,0.022511582964371925,0.005986222816223075,0.03062698087473088,0.009191463709872671,0.03447507277310898,0.08947708859394932,0.21891143804252647,0.151189702512674,-1.702299198652862,1.1795096836962975,0.2046604858881667,-0.24548098818270445,-0.27921253863578743,-0.4223995530012726,-0.7137075178683214,-1.037259652616273,-1.0576389353560354,-0.8614272687855372,-1.2810684526602278,-1.2266008665127006,-1.4776797469703573
